customer_id,customer_name,gender,age_group,city,state,customer_segment,signup_date
C00001,Ayaan Deol,Male,35-44,Trichy,Tamil Nadu,Regular,2023-11-02
C00002,Tanvi Soman,Male,55+,Bengaluru,Karnataka,New,2024-10-24
C00003,Nathaniel Nigam,Male,18-24,Kochi,Kerala,New,2025-11-22
C00004,Girish De,Male,55+,Mumbai,Maharashtra,New,2025-05-11
C00005,Xalak Mohan,Female,25-34,Patna,Bihar,Regular,2024-09-06
C00006,Aryan Raja,Male,25-34,Pune,Maharashtra,Regular,2024-03-13
C00007,Saksham Wable,Female,25-34,Jaipur,Rajasthan,Regular,2024-07-01
C00008,Zarna Kamdar,Male,18-24,Jaipur,Rajasthan,Regular,2025-07-25
C00009,Upkaar Bath,Female,55+,Ahmedabad,Gujarat,Regular,2026-06-22
C00010,Edhitha Bains,Female,55+,Coimbatore,Tamil Nadu,New,2025-09-08
C00011,Kashish Pai,Male,55+,Kolkata,West Bengal,Regular,2025-01-07
C00012,Irya Upadhyay,Female,55+,Visakhapatnam,Andhra Pradesh,New,2025-09-17
C00013,Chandran Iyer,Male,25-34,Madurai,Tamil Nadu,Loyal,2023-11-12
C00014,Rishi Aggarwal,Male,18-24,Madurai,Tamil Nadu,Regular,2024-11-26
C00015,Samar Sura,Female,25-34,Lucknow,Uttar Pradesh,Regular,2025-04-16
C00016,Vaishnavi Bose,Female,18-24,Hyderabad,Telangana,Regular,2026-02-24
C00017,Ekaraj Shere,Male,25-34,Mysuru,Karnataka,Regular,2023-11-03
C00018,Tripti Mukherjee,Male,35-44,Pune,Maharashtra,Loyal,2025-08-14
C00019,Jai Dubey,Male,18-24,Coimbatore,Tamil Nadu,Loyal,2023-09-22
C00020,Oscar Chaudhry,Female,18-24,Kolkata,West Bengal,Regular,2024-03-13
C00021,Chatura Khurana,Female,25-34,Bhubaneswar,Odisha,Regular,2025-12-23
C00022,Leena Pai,Female,25-34,Kolkata,West Bengal,Regular,2024-11-17
C00023,Zayyan Sarin,Female,55+,Mumbai,Maharashtra,Regular,2025-05-28
C00024,Vasatika Sarin,Female,35-44,Bhubaneswar,Odisha,Regular,2023-09-11
C00025,Ekapad Choudhary,Female,18-24,Bengaluru,Karnataka,Loyal,2026-06-21
C00026,Chandran Sant,Male,25-34,Trichy,Tamil Nadu,Loyal,2023-09-15
C00027,Advik Dave,Male,45-54,Kochi,Kerala,Regular,2024-03-27
C00028,Zansi Pathak,Female,55+,Lucknow,Uttar Pradesh,Loyal,2025-07-08
C00029,Ekiya Wable,Male,55+,Chennai,Tamil Nadu,Loyal,2026-04-12
C00030,Bina Dutta,Male,35-44,Jaipur,Rajasthan,Regular,2024-08-30
C00031,Neelima Morar,Male,35-44,Lucknow,Uttar Pradesh,High Value,2023-12-01
C00032,Aahana Hegde,Male,35-44,Mysuru,Karnataka,Loyal,2024-04-20
C00033,Aarush Chaudhry,Male,25-34,Bhopal,Madhya Pradesh,Regular,2025-09-05
C00034,Janani Sem,Male,55+,Mysuru,Karnataka,Regular,2024-12-04
C00035,Anamika Dutta,Male,35-44,Chennai,Tamil Nadu,Loyal,2024-01-24
C00036,Daniel Rege,Male,18-24,Delhi,Delhi,Regular,2025-06-22
C00037,Sara Deshmukh,Male,18-24,Bhubaneswar,Odisha,Loyal,2025-10-02
C00038,Harsh Banerjee,Male,25-34,Madurai,Tamil Nadu,Regular,2026-05-20
C00039,Hiral Batra,Male,35-44,Patna,Bihar,Regular,2026-01-02
C00040,Yamini Sanghvi,Female,25-34,Visakhapatnam,Andhra Pradesh,Loyal,2023-11-10
C00041,Agastya Sachdev,Female,45-54,Hyderabad,Telangana,High Value,2023-08-21
C00042,Jackson Sehgal,Female,55+,Ahmedabad,Gujarat,Regular,2024-01-30
C00043,Joshua Pant,Male,18-24,Mumbai,Maharashtra,Regular,2024-11-16
C00044,Kiaan Cheema,Male,55+,Bhubaneswar,Odisha,Regular,2024-12-23
C00045,Hemal Palla,Male,25-34,Madurai,Tamil Nadu,New,2025-08-08
C00046,Upma Bhalla,Female,18-24,Coimbatore,Tamil Nadu,Regular,2026-04-21
C00047,Jyoti Borde,Female,25-34,Pune,Maharashtra,Regular,2024-10-13
C00048,Charan Singh,Female,25-34,Bhubaneswar,Odisha,Loyal,2024-01-15
C00049,Naveen Sane,Male,18-24,Kochi,Kerala,New,2025-12-17
C00050,Ijaya Toor,Female,45-54,Kochi,Kerala,Regular,2024-06-23
C00051,Caleb Konda,Male,18-24,Coimbatore,Tamil Nadu,Regular,2025-10-12
C00052,Falan Dyal,Male,25-34,Jaipur,Rajasthan,New,2025-11-16
C00053,Kamya Deol,Female,25-34,Patna,Bihar,Regular,2023-11-10
C00054,Ikbal Sheth,Female,25-34,Pune,Maharashtra,Loyal,2026-05-22
C00055,Naveen Kadakia,Female,55+,Madurai,Tamil Nadu,New,2024-09-11
C00056,Upkaar Pandey,Male,18-24,Patna,Bihar,Loyal,2024-06-19
C00057,Chakrika Munshi,Male,45-54,Mumbai,Maharashtra,Regular,2026-04-03
C00058,Prisha Rattan,Female,18-24,Hyderabad,Telangana,New,2025-09-21
C00059,Qabil Suresh,Female,35-44,Chennai,Tamil Nadu,Loyal,2023-10-07
C00060,Alexander Khanna,Female,45-54,Lucknow,Uttar Pradesh,Regular,2024-12-19
C00061,Rehaan Gill,Female,25-34,Patna,Bihar,New,2024-11-10
C00062,Ekapad Varghese,Male,55+,Hyderabad,Telangana,Loyal,2025-05-27
C00063,Sathvik Batta,Female,18-24,Coimbatore,Tamil Nadu,New,2025-07-22
C00064,Radhika Munshi,Male,18-24,Indore,Madhya Pradesh,High Value,2024-12-12
C00065,Urvashi Sami,Male,18-24,Madurai,Tamil Nadu,Regular,2023-10-20
C00066,Azad Talwar,Female,18-24,Mumbai,Maharashtra,Loyal,2024-04-16
C00067,Samaksh Buch,Male,55+,Bhubaneswar,Odisha,Regular,2024-09-08
C00068,Ethan Trivedi,Male,45-54,Visakhapatnam,Andhra Pradesh,Regular,2026-04-15
C00069,Unnati Vyas,Female,35-44,Bhubaneswar,Odisha,Regular,2025-01-31
C00070,Eshana Raj,Male,35-44,Jaipur,Rajasthan,Regular,2023-08-26
C00071,Isaac Sinha,Female,35-44,Delhi,Delhi,Loyal,2024-08-03
C00072,Baghyawati Sura,Male,45-54,Madurai,Tamil Nadu,Regular,2025-10-10
C00073,Yochana Prasad,Male,18-24,Bhubaneswar,Odisha,Regular,2025-10-19
